order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
170,207784,171735.2,174427.5,2692.2999999999884,-33356.5,-0.04814596063555938,3,FUSE0,8,FUSE1,8,FUSE2,9,2,2,7,2
171,356810,307650.4,310165.1,2514.6999999999534,-46644.90000000002,-0.012956916666666674,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,12,1
172,228130,190445.2,193061.5,2616.2999999999884,-35068.5,-0.009741250000000002,1,FUSE0,9,FUSE1,9,FUSE2,9,2,2,8,2
173,505852,439943.2,442425.5,2482.2999999999884,-63426.5,-0.017618472222222223,1,FUSE0,8,FUSE1,8,FUSE2,10,4,4,18,1
174,492677,426305.6,428910.7,2605.100000000035,-63766.29999999999,-0.017712861111111106,1,FUSE0,9,FUSE1,9,FUSE2,8,4,3,17,5
175,302991,247607.2,250026.3,2419.0999999999767,-52964.70000000001,-0.04161299837056794,2,FUSE0,7,FUSE1,7,FUSE2,8,3,2,11,4
176,141776,139711.4,142335.9,2624.5,559.8999999999942,7.806703529494197,1,FUSE0,10,FUSE1,9,FUSE2,10,1,1,5,5
177,264012,226197.2,228723.5,2526.2999999999884,-35288.5,-0.00980236111111111,1,FUSE0,7,FUSE1,7,FUSE2,8,2,2,9,3
178,429114,367946.8,370350.1,2403.2999999999884,-58763.90000000002,-0.016323305555555563,1,FUSE0,9,FUSE1,9,FUSE2,8,3,3,15,3
179,171764,138175.8,140805.1,2629.3000000000175,-30958.899999999994,-0.024323609031195785,2,FUSE0,9,FUSE1,8,FUSE2,9,2,1,6,5
180,116641,69081.4,71782.7,2701.300000000003,-44858.3,-0.09968511111111111,4,FUSE0,9,FUSE1,9,FUSE2,10,1,1,4,3
181,203771,167150.0,169592.3,2442.2999999999884,-34178.70000000001,-0.009494083333333335,1,FUSE0,9,FUSE1,9,FUSE2,8,2,2,7,1
182,77162,79541.8,81866.5,2324.699999999997,4704.5,67.52221667517388,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,3,3
183,184631,141385.6,143804.7,2419.100000000006,-40826.29999999999,-0.03207617064528483,2,FUSE0,7,FUSE1,7,FUSE2,8,2,1,6,5
184,53189,73565.4,89488.3,15922.900000000009,36299.3,655.589178292066,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,2,4
185,299999,243283.6,245624.5,2340.899999999994,-54374.5,-0.015104027777777779,1,FUSE0,7,FUSE1,8,FUSE2,8,2,2,10,4
186,372128,309086.8,311695.9,2609.100000000035,-60432.09999999998,-0.01678669444444444,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,13,1
187,345366,283378.4,285962.7,2584.2999999999884,-59403.29999999999,-0.016500916666666664,1,FUSE0,9,FUSE1,9,FUSE2,10,3,2,12,5
188,463848,394507.2,397150.3,2643.0999999999767,-66697.70000000001,-0.01852713888888889,1,FUSE0,9,FUSE1,9,FUSE2,10,4,3,16,4
189,207304,170346.0,172657.7,2311.7000000000116,-34646.29999999999,-0.00962397222222222,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,7,1
