unit_seq,order_id,unit_id,variant,route_id
460,40,U999,FUSE1,p:2.1.5.1.2.2
461,40,U1000,FUSE2,p:1.1.1.2.2.2
462,40,U1001,FUSE2,p:2.1.2.1.2.2
463,40,U1002,FUSE2,p:1.1.3.1.2.2
464,40,U1003,FUSE2,p:2.1.4.1.2.2
465,40,U1004,FUSE2,p:1.1.5.1.2.2
466,40,U1005,FUSE2,p:2.1.1.2.2.2
467,40,U1006,FUSE2,p:1.1.2.1.2.2
468,40,U1007,FUSE2,p:2.1.4.1.2.2
469,40,U1008,FUSE2,p:1.1.3.1.2.2
470,126,U3131,FUSE0,p:2.1.5.1.2.2
471,126,U3132,FUSE0,p:1.1.1.2.2.2
472,126,U3133,FUSE0,p:2.1.2.1.2.2
473,126,U3134,FUSE0,p:1.1.3.1.2.2
474,126,U3135,FUSE0,p:2.1.5.1.2.2
475,126,U3136,FUSE0,p:1.1.4.1.2.2
476,126,U3137,FUSE0,p:2.1.1.2.2.2
477,126,U3138,FUSE0,p:1.1.2.1.2.2
478,126,U3139,FUSE1,p:2.1.3.1.2.2
479,126,U3140,FUSE1,p:1.1.5.1.2.2
480,126,U3141,FUSE1,p:2.1.4.1.2.2
481,126,U3142,FUSE1,p:1.1.1.2.2.2
482,126,U3143,FUSE1,p:2.1.2.1.2.2
483,126,U3144,FUSE1,p:1.1.3.1.2.2
484,126,U3145,FUSE1,p:2.1.5.1.2.2
485,126,U3146,FUSE1,p:1.1.4.1.2.2
486,126,U3147,FUSE2,p:2.1.1.1.2.2
487,126,U3148,FUSE2,p:1.1.2.1.2.2
488,126,U3149,FUSE2,p:2.1.3.1.2.2
489,126,U3150,FUSE2,p:1.1.5.1.2.2
490,126,U3151,FUSE2,p:2.1.4.1.2.2
491,126,U3152,FUSE2,p:1.2.1.1.2.2
492,126,U3153,FUSE2,p:2.1.2.1.2.2
493,126,U3154,FUSE2,p:1.1.3.1.2.2
494,329,U8228,FUSE0,p:2.1.5.1.2.2
495,329,U8229,FUSE0,p:1.1.4.1.2.2
496,329,U8230,FUSE0,p:2.1.1.2.2.2
